#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#PreAmp State,ON
#Ref Level,-30.00 dBm
#Ref Offset,0.00 dB
#Attenuation,10,Auto
#X Axis Scale,LINE
#Impedance,50
#Number of Points,751
#Sweep Time(s),4.455000,Auto
#Sweep Times Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#Start Frequency,10000000
#Stop Frequency,500000000
#Offset Frequency,0
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#RBW Filter,Gaussian
#Trigger Source,FreeRun
#Trigger Level,0.00 dBm
#External Trigger Edge,RISE
#Video Trigger Edge,RISE
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Marker1,C,Frequency,100.813333 MHz,-54.86 dBm
#Marker2,C,Frequency,193.586667 MHz,-49.32 dBm
#Peak Table Information
#Peak Threshold,-90.00 dBm
#Peak Excursion,15.00 dB
#Peak,Trace,X Axis,Amplitude
#Trace Math Type,Off
#Trace Math Offset, 0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,Blank
#Trace Detector,Sample,Sample,Sample,Pos Peak
#Trace Data
82520000.000000,-114.11,-97.94,-56.54,
83173333.000000,-113.65,-101.09,-56.51,
83826667.000000,-110.54,-98.84,-56.49,
84480000.000000,-112.15,-100.13,-56.47,
85133333.000000,-109.87,-96.13,-56.47,
85786667.000000,-110.28,-101.07,-56.45,
86440000.000000,-110.84,-98.07,-56.44,
87093333.000000,-112.84,-95.68,-56.39,
87746667.000000,-111.71,-97.38,-56.27,
88400000.000000,-110.64,-98.75,-56.24,
89053333.000000,-112.92,-97.75,-56.11,
89706667.000000,-108.93,-95.93,-55.96,
90360000.000000,-108.64,-96.61,-55.86,
91013333.000000,-112.50,-100.74,-55.83,
91666667.000000,-112.06,-96.73,-55.80,
92320000.000000,-111.64,-95.80,-55.76,
92973333.000000,-111.39,-93.55,-55.78,
93626667.000000,-112.48,-96.60,-55.79,
94280000.000000,-112.60,-96.66,-55.86,
94933333.000000,-112.11,-96.41,-55.60,
95586667.000000,-109.11,-96.96,-54.95,
96240000.000000,-110.46,-97.08,-54.83,
96893333.000000,-111.92,-96.89,-54.78,
97546667.000000,-110.71,-95.81,-54.76,
98200000.000000,-113.29,-96.76,-54.77,
98853333.000000,-108.91,-95.26,-54.78,
99506667.000000,-115.70,-95.28,-54.78,
100160000.000000,-111.78,-95.42,-54.85,
100813333.000000,-111.87,-96.51,-54.86,
101466667.000000,-108.98,-96.77,-54.85,
102120000.000000,-113.48,-97.53,-54.95,
102773333.000000,-109.65,-95.60,-54.94,
103426667.000000,-112.80,-96.98,-54.95,
104080000.000000,-112.58,-96.47,-55.03,
104733333.000000,-110.66,-94.43,-55.07,
105386667.000000,-108.49,-95.90,-55.14,
106040000.000000,-114.34,-96.44,-55.21,
106693333.000000,-110.56,-96.11,-55.26,
107346667.000000,-113.86,-96.76,-55.35,
108000000.000000,-112.04,-96.31,-55.39,
108653333.000000,-110.31,-94.82,-55.42,
109306667.000000,-113.25,-97.52,-55.43,
109960000.000000,-110.33,-96.12,-55.41,
110613333.000000,-110.86,-96.99,-55.49,
111266667.000000,-111.98,-94.76,-55.53,
111920000.000000,-108.96,-95.10,-55.49,
112573333.000000,-111.93,-94.51,-55.49,
113226667.000000,-111.88,-97.14,-55.57,
113880000.000000,-113.45,-94.85,-55.60,
114533333.000000,-108.41,-95.22,-55.66,
115186667.000000,-109.85,-92.97,-55.70,
115840000.000000,-108.46,-92.44,-55.77,
116493333.000000,-111.21,-94.84,-55.78,
117146667.000000,-113.62,-93.86,-55.80,
117800000.000000,-111.63,-95.21,-55.82,
118453333.000000,-112.72,-93.47,-55.93,
119106667.000000,-115.21,-93.30,-55.89,
119760000.000000,-111.77,-95.50,-55.90,
120413333.000000,-111.98,-94.42,-55.90,
121066667.000000,-110.97,-94.35,-55.97,
121720000.000000,-112.01,-93.09,-55.97,
122373333.000000,-111.56,-94.89,-55.91,
123026667.000000,-111.71,-94.93,-56.00,
123680000.000000,-112.28,-93.63,-55.97,
124333333.000000,-111.26,-94.12,-56.02,
124986667.000000,-112.25,-94.42,-55.98,
125640000.000000,-112.61,-94.42,-55.98,
126293333.000000,-112.10,-94.28,-55.95,
126946667.000000,-112.98,-92.09,-55.96,
127600000.000000,-113.15,-94.00,-55.82,
128253333.000000,-110.26,-93.85,-55.77,
128906667.000000,-113.27,-93.03,-55.59,
129560000.000000,-112.42,-93.96,-55.50,
130213333.000000,-110.12,-91.66,-55.43,
130866667.000000,-112.66,-93.88,-55.27,
131520000.000000,-113.89,-93.03,-55.03,
132173333.000000,-110.41,-92.64,-54.76,
132826667.000000,-111.11,-93.63,-54.42,
133480000.000000,-113.43,-96.67,-54.12,
134133333.000000,-115.21,-91.08,-53.84,
134786667.000000,-111.98,-93.05,-53.66,
135440000.000000,-110.01,-92.16,-53.50,
136093333.000000,-113.90,-93.69,-53.49,
136746667.000000,-113.33,-92.73,-53.36,
137400000.000000,-111.93,-91.59,-53.25,
138053333.000000,-112.08,-93.24,-53.18,
138706667.000000,-113.26,-93.79,-52.97,
139360000.000000,-111.89,-93.18,-52.82,
140013333.000000,-111.99,-91.15,-52.74,
140666667.000000,-109.26,-88.57,-52.74,
141320000.000000,-112.43,-91.88,-52.73,
141973333.000000,-110.82,-94.75,-52.78,
142626667.000000,-113.18,-90.95,-52.68,
143280000.000000,-111.46,-90.96,-52.65,
143933333.000000,-112.57,-89.12,-52.58,
144586667.000000,-111.65,-91.83,-52.47,
145240000.000000,-113.28,-92.08,-52.38,
145893333.000000,-112.37,-92.33,-52.28,
146546667.000000,-112.43,-92.58,-52.14,
147200000.000000,-114.35,-93.01,-52.07,
147853333.000000,-108.81,-92.16,-52.05,
148506667.000000,-111.12,-91.61,-51.90,
149160000.000000,-110.26,-90.63,-51.80,
149813333.000000,-112.85,-91.06,-51.72,
150466667.000000,-110.52,-93.39,-51.67,
151120000.000000,-110.13,-91.19,-51.49,
151773333.000000,-110.87,-89.44,-51.41,
152426667.000000,-110.47,-89.46,-51.31,
153080000.000000,-110.10,-91.40,-51.25,
153733333.000000,-112.04,-91.19,-51.12,
154386667.000000,-114.25,-91.13,-51.10,
155040000.000000,-110.46,-92.53,-51.01,
155693333.000000,-113.18,-91.79,-50.98,
156346667.000000,-110.97,-89.33,-50.96,
157000000.000000,-112.97,-89.18,-50.96,
157653333.000000,-111.43,-90.53,-50.87,
158306667.000000,-112.76,-89.97,-50.92,
158960000.000000,-110.59,-89.47,-50.89,
159613333.000000,-111.57,-91.72,-50.88,
160266667.000000,-111.93,-90.72,-50.85,
160920000.000000,-110.81,-89.54,-50.90,
161573333.000000,-113.47,-88.88,-50.92,
162226667.000000,-114.89,-90.31,-50.86,
162880000.000000,-111.13,-90.77,-50.80,
163533333.000000,-114.25,-89.95,-50.79,
164186667.000000,-111.23,-91.04,-50.80,
164840000.000000,-116.68,-91.51,-50.68,
165493333.000000,-111.18,-89.35,-50.76,
166146667.000000,-111.24,-90.90,-50.74,
166800000.000000,-110.39,-89.05,-50.73,
167453333.000000,-111.24,-91.44,-50.65,
168106667.000000,-111.46,-88.94,-50.70,
168760000.000000,-114.26,-87.85,-50.63,
169413333.000000,-113.02,-89.20,-50.61,
170066667.000000,-112.91,-88.57,-50.56,
170720000.000000,-112.02,-87.66,-50.52,
171373333.000000,-112.39,-89.13,-50.47,
172026667.000000,-111.57,-90.56,-50.42,
172680000.000000,-112.25,-91.56,-50.38,
173333333.000000,-113.63,-87.66,-50.37,
173986667.000000,-113.10,-89.55,-50.21,
174640000.000000,-112.25,-87.18,-50.19,
175293333.000000,-112.50,-90.87,-50.20,
175946667.000000,-109.62,-89.30,-50.09,
176600000.000000,-109.99,-90.22,-50.11,
177253333.000000,-111.02,-90.72,-50.00,
177906667.000000,-112.43,-86.34,-49.96,
178560000.000000,-109.69,-88.68,-49.93,
179213333.000000,-112.47,-88.31,-49.90,
179866667.000000,-112.28,-87.98,-49.81,
180520000.000000,-110.95,-91.68,-49.74,
181173333.000000,-111.97,-86.92,-49.73,
181826667.000000,-112.49,-86.88,-49.70,
182480000.000000,-112.07,-87.55,-49.63,
183133333.000000,-112.11,-88.81,-49.69,
183786667.000000,-112.27,-87.94,-49.65,
184440000.000000,-111.71,-88.67,-49.61,
185093333.000000,-111.73,-88.58,-49.54,
185746667.000000,-109.83,-87.15,-49.53,
186400000.000000,-112.62,-87.93,-49.43,
187053333.000000,-113.82,-87.61,-49.45,
187706667.000000,-109.44,-89.65,-49.35,
188360000.000000,-111.15,-88.88,-49.39,
189013333.000000,-109.46,-87.73,-49.35,
189666667.000000,-113.99,-88.92,-49.30,
190320000.000000,-112.82,-90.08,-49.33,
190973333.000000,-112.22,-86.69,-49.29,
191626667.000000,-109.87,-88.63,-49.31,
192280000.000000,-108.16,-87.15,-49.30,
192933333.000000,-111.43,-87.69,-49.35,
193586667.000000,-107.49,-90.42,-49.32,
194240000.000000,-111.66,-88.40,-49.42,
194893333.000000,-110.43,-87.61,-49.46,
195546667.000000,-112.07,-90.43,-49.52,
196200000.000000,-112.03,-88.85,-49.53,
196853333.000000,-112.59,-88.22,-49.53,
197506667.000000,-109.66,-89.71,-49.56,
198160000.000000,-115.36,-88.64,-49.58,
198813333.000000,-111.91,-88.91,-49.63,
199466667.000000,-111.55,-88.16,-49.63,
200120000.000000,-113.15,-89.14,-49.66,
200773333.000000,-113.97,-88.80,-49.71,
201426667.000000,-111.99,-87.00,-49.77,
202080000.000000,-110.95,-87.14,-49.80,
202733333.000000,-109.34,-89.08,-49.76,
203386667.000000,-112.61,-89.27,-49.87,
204040000.000000,-109.55,-89.79,-49.92,
204693333.000000,-112.50,-91.38,-49.97,
205346667.000000,-114.43,-88.34,-49.99,
206000000.000000,-113.45,-87.90,-50.07,
206653333.000000,-109.79,-90.77,-50.08,
207306667.000000,-110.94,-90.09,-50.14,
207960000.000000,-111.28,-88.35,-50.21,
208613333.000000,-109.25,-90.01,-50.27,
209266667.000000,-110.06,-89.91,-50.29,
209920000.000000,-112.89,-87.48,-50.31,
210573333.000000,-109.46,-89.73,-50.41,
211226667.000000,-113.34,-91.77,-50.49,
211880000.000000,-112.37,-88.06,-50.48,
212533333.000000,-111.77,-87.39,-50.48,
213186667.000000,-109.22,-86.62,-50.57,
213840000.000000,-112.12,-88.77,-50.56,
214493333.000000,-113.05,-91.38,-50.58,
215146667.000000,-113.23,-89.87,-50.60,
215800000.000000,-111.07,-86.60,-50.65,
216453333.000000,-111.37,-88.09,-50.68,
217106667.000000,-110.46,-89.62,-50.74,
217760000.000000,-111.63,-89.48,-50.72,
218413333.000000,-112.45,-88.01,-50.84,
219066667.000000,-113.76,-90.84,-50.81,
219720000.000000,-110.46,-88.93,-50.83,
220373333.000000,-109.81,-88.98,-50.87,
221026667.000000,-111.07,-89.27,-50.95,
221680000.000000,-113.40,-91.57,-50.98,
222333333.000000,-111.70,-89.35,-50.99,
222986667.000000,-111.31,-90.48,-51.05,
223640000.000000,-110.44,-91.60,-51.14,
224293333.000000,-114.44,-90.40,-51.21,
224946667.000000,-112.21,-88.81,-51.25,
225600000.000000,-112.18,-91.75,-51.34,
226253333.000000,-111.36,-90.79,-51.38,
226906667.000000,-111.74,-87.40,-51.52,
227560000.000000,-113.84,-90.53,-51.56,
228213333.000000,-110.10,-92.15,-51.67,
228866667.000000,-110.44,-90.24,-51.75,
229520000.000000,-113.57,-92.42,-51.88,
230173333.000000,-110.58,-93.95,-52.00,
230826667.000000,-115.07,-90.67,-52.11,
231480000.000000,-110.76,-90.51,-52.15,
232133333.000000,-112.06,-91.29,-52.28,
232786667.000000,-111.04,-89.74,-52.32,
233440000.000000,-112.47,-89.06,-52.39,
234093333.000000,-111.76,-90.82,-52.46,
234746667.000000,-112.38,-90.31,-52.45,
235400000.000000,-112.36,-90.43,-52.56,
236053333.000000,-109.90,-92.30,-52.56,
236706667.000000,-112.45,-90.39,-52.62,
237360000.000000,-113.95,-89.55,-52.75,
238013333.000000,-115.21,-90.59,-52.72,
238666667.000000,-111.78,-90.87,-52.87,
239320000.000000,-113.78,-91.33,-53.00,
239973333.000000,-111.11,-90.80,-53.06,
240626667.000000,-111.06,-89.55,-53.20,
241280000.000000,-109.17,-88.56,-53.28,
241933333.000000,-112.53,-88.50,-53.42,
242586667.000000,-111.67,-88.49,-53.46,
243240000.000000,-111.32,-94.09,-53.65,
243893333.000000,-112.18,-90.95,-53.72,
244546667.000000,-113.51,-90.60,-53.90,
245200000.000000,-111.14,-95.51,-53.91,
245853333.000000,-110.61,-91.76,-54.15,
246506667.000000,-112.30,-91.41,-54.19,
247160000.000000,-114.24,-91.17,-54.27,
247813333.000000,-111.80,-91.94,-54.34,
248466667.000000,-114.43,-91.99,-54.39,
249120000.000000,-110.67,-95.00,-54.52,
249773333.000000,-111.04,-91.13,-54.61,
250426667.000000,-111.11,-94.69,-54.65,
251080000.000000,-114.39,-91.99,-54.75,
251733333.000000,-111.92,-90.60,-54.83,
252386667.000000,-109.95,-92.45,-54.86,
253040000.000000,-114.02,-91.75,-55.04,
253693333.000000,-110.09,-91.90,-55.02,
254346667.000000,-112.47,-93.46,-55.17,
255000000.000000,-111.29,-91.59,-55.26,
255653333.000000,-112.05,-90.56,-55.41,
256306667.000000,-112.59,-92.11,-55.57,
256960000.000000,-111.48,-93.46,-55.63,
257613333.000000,-110.85,-92.75,-55.76,
258266667.000000,-111.36,-90.28,-55.84,
258920000.000000,-109.50,-92.32,-55.98,
259573333.000000,-111.31,-93.01,-55.96,
260226667.000000,-112.46,-95.06,-56.10,
260880000.000000,-111.30,-92.58,-56.18,
261533333.000000,-111.20,-92.96,-56.30,
262186667.000000,-114.63,-94.41,-56.42,
262840000.000000,-110.71,-91.99,-56.41,
263493333.000000,-111.84,-92.30,-56.60,
264146667.000000,-111.06,-94.02,-56.68,
264800000.000000,-113.17,-92.26,-56.69,
265453333.000000,-109.84,-94.44,-56.80,
266106667.000000,-110.78,-95.49,-56.83,
266760000.000000,-113.40,-92.57,-57.00,
267413333.000000,-110.62,-91.76,-57.11,
268066667.000000,-113.73,-95.07,-57.12,
268720000.000000,-111.19,-93.09,-57.16,
269373333.000000,-112.18,-92.85,-57.25,
270026667.000000,-110.42,-93.53,-57.22,
270680000.000000,-110.37,-92.46,-57.37,
271333333.000000,-111.11,-94.73,-57.31,
271986667.000000,-111.52,-93.52,-57.48,
272640000.000000,-113.03,-90.98,-57.41,
273293333.000000,-110.64,-94.33,-57.55,
273946667.000000,-111.71,-91.75,-57.64,
274600000.000000,-111.66,-93.90,-57.64,
275253333.000000,-109.53,-93.37,-57.72,
275906667.000000,-114.13,-92.39,-57.72,
276560000.000000,-112.10,-93.22,-57.85,
277213333.000000,-110.76,-89.97,-57.90,
277866667.000000,-114.57,-92.22,-57.96,
278520000.000000,-113.89,-92.10,-57.94,
279173333.000000,-113.30,-92.11,-57.92,
279826667.000000,-112.41,-92.88,-58.03,
280480000.000000,-109.65,-97.00,-58.06,
281133333.000000,-112.76,-96.11,-58.07,
281786667.000000,-109.53,-95.78,-58.15,
282440000.000000,-113.29,-96.66,-58.27,
283093333.000000,-113.52,-91.42,-58.34,
283746667.000000,-110.93,-95.94,-58.38,
