# One Inch Photodetector
# AW 2021-09-02
# OPA818 op-amp
# RF 12k Ohm
# CF not installed
# FGA01FC InGaAs photodiode, 2pF @ 5V
#
# Trace A: SA floor 
# Trace B: detector dark noise
# Trace C: detector response
# Trace D: detector response, 10dB optical attenuation added
# 3 kHz RBW, frequency sweep 1MHz to 500MHz
#
# Machine Module,SSA3021X
# Y Axis Scale,LOG
# Y Axis Unit,dBm
# Impedance,50
# Number of Points,751
# Sweep Time(s),36.843309,Auto
# Start Frequency,+1.000000000e+06
# Stop Frequency,+5.000000000e+08
# Offset Frequency,+0.000000000e+00
# Average Type,Log Pwr
# RBW,3000.000000,Manual
# VBW,3000.000000,Auto
# Sweep Type,Continuous
# Sweep Mode,Auto
# Sweep Rule,Speed
# PreAmp State,ON
# Ref Level,-2.500000000e+01
# Attenuation,15,Manual
# Trigger Source,FreeRun
# Trigger Level,+0.000000000e+00
# External Trigger Edge,FALL
# Video Trigger Edge,FALL
# Marker Information
# Marker,Trace,Type,X Axis,Amplitude
# Marker1,C,Frequency,110.114667 MHz,-33.01 dBm
# Trace Math,0
# Trace Variable X,Trace A
# Trace Variable Y,Trace B
# Trace Variable Z,Trace C
# Trace Name,Trace A,Trace B,Trace C,Trace D
# Trace Type,View,View,View,View
# Trace Detector,Sample,Sample,Pos Peak,Pos Peak
# Trace Data
3.892400e+07,-1.154695e+02,-1.028230e+02,-2.998710e+01,-4.975272e+01
3.958933e+07,-1.184627e+02,-1.065281e+02,-2.996757e+01,-4.974784e+01
4.025467e+07,-1.156072e+02,-1.068338e+02,-2.995292e+01,-4.971366e+01
4.092000e+07,-1.175369e+02,-1.061404e+02,-2.997733e+01,-4.971366e+01
4.158533e+07,-1.175525e+02,-1.066590e+02,-2.993339e+01,-4.970390e+01
4.225067e+07,-1.161766e+02,-1.041473e+02,-2.995780e+01,-4.970390e+01
4.291600e+07,-1.176785e+02,-1.073484e+02,-2.991874e+01,-4.969413e+01
4.358133e+07,-1.128562e+02,-1.064295e+02,-2.993827e+01,-4.969901e+01
4.424667e+07,-1.140623e+02,-1.032850e+02,-2.989921e+01,-4.966483e+01
4.491200e+07,-1.134051e+02,-1.049832e+02,-2.991874e+01,-4.966483e+01
4.557733e+07,-1.131512e+02,-1.072381e+02,-2.987480e+01,-4.964530e+01
4.624267e+07,-1.163367e+02,-1.041883e+02,-2.988944e+01,-4.965507e+01
4.690800e+07,-1.138953e+02,-1.051287e+02,-2.985526e+01,-4.962089e+01
4.757333e+07,-1.177703e+02,-1.032703e+02,-2.985526e+01,-4.961112e+01
4.823867e+07,-1.178279e+02,-1.059891e+02,-2.983085e+01,-4.960136e+01
4.890400e+07,-1.164305e+02,-1.044656e+02,-2.983085e+01,-4.958183e+01
4.956933e+07,-1.134803e+02,-1.037527e+02,-2.981132e+01,-4.958183e+01
5.023467e+07,-1.201043e+02,-1.054568e+02,-2.979667e+01,-4.954276e+01
5.090000e+07,-1.154549e+02,-1.041072e+02,-2.981132e+01,-4.954765e+01
5.156533e+07,-1.162791e+02,-1.027400e+02,-2.977714e+01,-4.951835e+01
5.223067e+07,-1.185340e+02,-1.027234e+02,-2.980155e+01,-4.952323e+01
5.289600e+07,-1.176629e+02,-1.052400e+02,-2.976249e+01,-4.951347e+01
5.356133e+07,-1.154744e+02,-1.019178e+02,-2.978202e+01,-4.951347e+01
5.422667e+07,-1.150418e+02,-9.998612e+01,-2.973808e+01,-4.949394e+01
5.489200e+07,-1.138641e+02,-1.011150e+02,-2.976249e+01,-4.948417e+01
