#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.024000,Auto
#Start Frequency,+1.000000000e+06
#Stop Frequency,+6.000000000e+07
#Average Type,Log Pwr
#RBW,300000.000000,Auto
#VBW,300000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Auto
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-1.000000000e+01
#Attenuation,30,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M2,B,Frequency,12.092000 MHz,-66.19 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace B,Trace C,Trace D
#Trace Type,View,View,View
#Trace Detector,Sample,Sample,Pos Peak
#Trace Data
7.136000e+06,-7.031393e+01,-7.232224e+01,-8.156580e+01
7.214667e+06,-7.107233e+01,-7.376094e+01,-8.038038e+01
7.293334e+06,-7.031324e+01,-7.159787e+01,-8.061575e+01
7.372000e+06,-7.066548e+01,-7.122439e+01,-8.214882e+01
7.450667e+06,-7.047441e+01,-7.150079e+01,-8.104072e+01
7.529333e+06,-7.135286e+01,-7.118568e+01,-8.137523e+01
7.608001e+06,-6.989284e+01,-7.196210e+01,-8.130643e+01
7.686667e+06,-7.032341e+01,-7.192244e+01,-8.110399e+01
7.765333e+06,-6.947262e+01,-7.146937e+01,-8.180531e+01
7.844001e+06,-6.837437e+01,-7.112366e+01,-8.173064e+01
7.922667e+06,-6.976828e+01,-7.215393e+01,-8.120806e+01
8.001333e+06,-6.900716e+01,-7.009773e+01,-8.145761e+01
8.080000e+06,-6.934299e+01,-7.105065e+01,-8.120626e+01
8.158667e+06,-6.958286e+01,-7.005516e+01,-8.135715e+01
8.237333e+06,-6.942542e+01,-7.022469e+01,-8.115460e+01
8.316000e+06,-6.914545e+01,-7.016976e+01,-8.149733e+01
8.394667e+06,-6.914902e+01,-7.061269e+01,-8.146713e+01
8.473334e+06,-6.849253e+01,-7.172892e+01,-8.196706e+01
8.552000e+06,-6.995018e+01,-7.031267e+01,-8.201879e+01
8.630667e+06,-6.948131e+01,-7.121286e+01,-8.204692e+01
8.709334e+06,-6.979645e+01,-7.081572e+01,-8.165030e+01
8.788000e+06,-6.984041e+01,-7.130684e+01,-8.168214e+01
8.866667e+06,-6.930812e+01,-7.032222e+01,-8.030941e+01
8.945334e+06,-6.826590e+01,-7.103332e+01,-8.083099e+01
9.024000e+06,-6.883467e+01,-7.000668e+01,-8.183308e+01
9.102667e+06,-6.828407e+01,-7.033943e+01,-8.178153e+01
9.181334e+06,-6.909672e+01,-7.034156e+01,-8.128704e+01
9.260000e+06,-6.881777e+01,-6.939764e+01,-8.126675e+01
9.338667e+06,-6.906756e+01,-6.892896e+01,-8.171091e+01
9.417333e+06,-6.802314e+01,-6.938715e+01,-8.046113e+01
