#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),1.620000,Auto
#Start Frequency,+0.000000000e+00
#Stop Frequency,+2.000000000e+07
#Offset Frequency,+0.000000000e+00
#Average Type,Log Pwr
#RBW,10000.000000,Manual
#VBW,10000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#PreAmp State,OFF
#Ref Level,+0.000000000e+00
#Attenuation,20,Manual
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#External Trigger Edge,FALL
#Video Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Marker1,A,Frequency,1.440000 MHz,-89.15 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,View
#Trace Detector,Sample,Sample,Sample,Sample
#Trace Data
1.626667e+06,-8.775456e+01,-7.989311e+01,-6.387356e+01,-9.692217e+00
1.653333e+06,-8.613609e+01,-8.073377e+01,-6.398442e+01,-9.731280e+00
1.680000e+06,-8.617796e+01,-8.198747e+01,-6.525638e+01,-9.741045e+00
1.706667e+06,-8.521357e+01,-8.020537e+01,-6.351621e+01,-9.784991e+00
1.733333e+06,-8.566444e+01,-7.992543e+01,-6.264459e+01,-9.804522e+00
1.760000e+06,-8.771220e+01,-8.048317e+01,-6.336781e+01,-9.843584e+00
1.786667e+06,-8.594189e+01,-7.951286e+01,-6.418146e+01,-9.892412e+00
1.813333e+06,-8.558953e+01,-7.993788e+01,-6.577384e+01,-9.970537e+00
1.840000e+06,-8.545524e+01,-8.049293e+01,-6.282615e+01,-9.985186e+00
1.866667e+06,-8.625685e+01,-7.958240e+01,-6.380667e+01,-9.990069e+00
1.893333e+06,-8.770240e+01,-7.941093e+01,-6.344996e+01,-1.004866e+01
1.920000e+06,-8.453599e+01,-7.989056e+01,-6.443881e+01,-1.008284e+01
1.946667e+06,-8.472117e+01,-7.798643e+01,-6.406862e+01,-1.013655e+01
1.973333e+06,-8.532818e+01,-7.795958e+01,-6.365397e+01,-1.016585e+01
2.000000e+06,-8.792171e+01,-7.814841e+01,-6.286276e+01,-1.020491e+01
2.026667e+06,-8.316859e+01,-7.896011e+01,-6.587624e+01,-1.023421e+01
2.053333e+06,-8.463784e+01,-8.145052e+01,-6.480875e+01,-1.023909e+01
2.080000e+06,-8.822690e+01,-7.810027e+01,-6.498417e+01,-1.029769e+01
2.106667e+06,-8.566729e+01,-7.834596e+01,-6.557334e+01,-1.032210e+01
2.133333e+06,-8.773125e+01,-7.798011e+01,-6.434930e+01,-1.035628e+01
2.160000e+06,-8.584399e+01,-7.830537e+01,-6.425300e+01,-1.040022e+01
2.186667e+06,-8.954170e+01,-7.743779e+01,-6.585005e+01,-1.039534e+01
2.213333e+06,-8.593550e+01,-7.888118e+01,-6.445582e+01,-1.046858e+01
2.240000e+06,-8.597505e+01,-7.892865e+01,-6.427482e+01,-1.050765e+01
2.266667e+06,-8.502725e+01,-7.854715e+01,-6.429658e+01,-1.057112e+01
2.293333e+06,-8.703842e+01,-7.814684e+01,-6.467125e+01,-1.059554e+01
2.320000e+06,-8.794575e+01,-7.748915e+01,-6.454831e+01,-1.063948e+01
2.346667e+06,-8.625193e+01,-7.877411e+01,-6.414396e+01,-1.064437e+01
2.373333e+06,-8.549507e+01,-7.772095e+01,-6.493496e+01,-1.069808e+01
2.400000e+06,-8.898635e+01,-7.973391e+01,-6.433386e+01,-1.077132e+01
2.426667e+06,-8.476509e+01,-7.762840e+01,-6.473256e+01,-1.078108e+01
2.453333e+06,-8.609980e+01,-7.899014e+01,-6.409805e+01,-1.084456e+01
2.480000e+06,-8.761338e+01,-7.790417e+01,-6.537522e+01,-1.088362e+01
2.506667e+06,-8.742839e+01,-7.739164e+01,-6.599254e+01,-1.090804e+01
2.533333e+06,-8.532211e+01,-7.690721e+01,-6.546730e+01,-1.097640e+01
2.560000e+06,-8.852346e+01,-7.637588e+01,-6.541647e+01,-1.096663e+01
2.586667e+06,-8.420921e+01,-7.687779e+01,-6.478388e+01,-1.103987e+01
2.613333e+06,-8.578855e+01,-7.015650e+01,-6.508737e+01,-1.107894e+01
2.640000e+06,-8.736260e+01,-7.679926e+01,-6.479274e+01,-1.109847e+01
2.666667e+06,-8.844810e+01,-7.695389e+01,-6.554467e+01,-1.114730e+01
2.693333e+06,-8.748654e+01,-7.679743e+01,-6.513512e+01,-1.116683e+01
2.720000e+06,-8.647343e+01,-6.729082e+01,-6.519700e+01,-1.120101e+01
2.746667e+06,-8.528143e+01,-7.852929e+01,-6.509360e+01,-1.123519e+01
