#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.945000,Auto
#Start Frequency,+0.000000000e+00
#Stop Frequency,+1.000000000e+08
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Auto
#Sweep Rule,Speed
#PreAmp State,OFF
#Ref Level,+2.000000000e+01
#Attenuation,40,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M1,A,Frequency,14.933333 MHz,1.00 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,Average
#Trace Detector,Sample,Sample,Sample,Sample
#Trace Data
8.400000e+06,3.063091e+00,-3.037638e+01,-5.710924e+01,-6.164425e+01
8.533333e+06,3.048442e+00,-3.012017e+01,-5.685176e+01,-6.125628e+01
8.666666e+06,2.994731e+00,-3.132913e+01,-5.708065e+01,-6.130666e+01
8.800000e+06,2.975200e+00,-2.762328e+01,-5.655093e+01,-6.172822e+01
8.933334e+06,2.960552e+00,-3.092908e+01,-5.665478e+01,-6.209248e+01
9.066667e+06,2.897075e+00,-2.960268e+01,-5.838639e+01,-6.206993e+01
9.200000e+06,2.931255e+00,-2.957878e+01,-5.739113e+01,-6.168759e+01
9.333333e+06,2.955669e+00,-2.938333e+01,-5.600346e+01,-6.240062e+01
9.466667e+06,2.882427e+00,-2.847232e+01,-5.752833e+01,-6.206813e+01
9.600000e+06,2.853130e+00,-2.876763e+01,-5.650853e+01,-6.182315e+01
9.733333e+06,2.799419e+00,-2.960033e+01,-5.560759e+01,-6.173679e+01
9.866667e+06,2.799419e+00,-2.913291e+01,-5.564570e+01,-6.182020e+01
1.000000e+07,2.779888e+00,-2.956300e+01,-5.756894e+01,-6.192825e+01
1.013333e+07,2.706645e+00,-3.010285e+01,-5.701194e+01,-6.138148e+01
1.026667e+07,2.667583e+00,-2.929408e+01,-5.590616e+01,-6.075059e+01
1.040000e+07,2.706645e+00,-2.796831e+01,-5.632239e+01,-6.185444e+01
1.053333e+07,2.711528e+00,-2.933186e+01,-5.571811e+01,-6.144928e+01
1.066667e+07,2.696880e+00,-2.947798e+01,-5.648757e+01,-6.149683e+01
1.080000e+07,2.667583e+00,-3.115382e+01,-5.633894e+01,-6.198148e+01
1.093333e+07,2.608989e+00,-3.042705e+01,-5.642326e+01,-6.147584e+01
1.106667e+07,2.574809e+00,-2.979129e+01,-5.572490e+01,-6.080695e+01
1.120000e+07,2.565044e+00,-3.010922e+01,-5.618138e+01,-6.201349e+01
1.133333e+07,2.482036e+00,-2.920510e+01,-5.736064e+01,-6.148504e+01
1.146667e+07,2.472270e+00,-2.956941e+01,-5.810188e+01,-6.195527e+01
1.160000e+07,2.442973e+00,-3.038799e+01,-5.736290e+01,-6.113380e+01
1.173333e+07,2.516216e+00,-3.081818e+01,-5.627737e+01,-6.199906e+01
1.186667e+07,2.452739e+00,-3.005085e+01,-5.589735e+01,-6.122234e+01
1.200000e+07,2.423442e+00,-3.130413e+01,-5.650210e+01,-6.137384e+01
1.213333e+07,2.399028e+00,-3.030309e+01,-5.539894e+01,-6.182538e+01
1.226667e+07,2.301372e+00,-2.976191e+01,-5.618400e+01,-6.164850e+01
1.240000e+07,2.320903e+00,-2.917266e+01,-5.573109e+01,-6.218262e+01
1.253333e+07,2.252544e+00,-3.035411e+01,-5.584495e+01,-6.116092e+01
1.266667e+07,2.252544e+00,-3.127607e+01,-5.595010e+01,-6.153482e+01
1.280000e+07,2.218364e+00,-3.035555e+01,-5.548790e+01,-6.143794e+01
1.293333e+07,2.213481e+00,-2.801393e+01,-5.592605e+01,-6.168693e+01
1.306667e+07,2.154888e+00,-3.040403e+01,-5.542157e+01,-6.224775e+01
1.320000e+07,2.027934e+00,-3.123232e+01,-5.521709e+01,-6.138523e+01
1.333333e+07,1.896098e+00,-2.949672e+01,-5.511657e+01,-6.128545e+01
1.346667e+07,1.798442e+00,-2.995012e+01,-5.615876e+01,-6.177283e+01
1.360000e+07,1.642192e+00,-3.101002e+01,-5.605383e+01,-6.152504e+01
1.373333e+07,1.534770e+00,-3.034194e+01,-5.658118e+01,-6.140190e+01
1.386667e+07,1.393169e+00,-2.954080e+01,-5.502213e+01,-6.230081e+01
