# One Inch Photodetector
# AW 2021-04-16
# OPA818 op-amp
# RF 4k7 Ohm
# CF not installed
# FGA01FC InGaAs photodiode, 2pF @ 5V
#
# Trace A: modulated laser on detector
# Trace B: detector dark noise
# 3 kHz RBW
#
# Machine Module,SSA3021X
# Y Axis Scale,LOG
# Y Axis Unit,dBm
# Impedance,50
# Number of Points,751
# Sweep Time(s),449.224500,Auto
# Start Frequency,+0.000000000e+00
# Stop Frequency,+5.000000000e+08
# Offset Frequency,+0.000000000e+00
# Average Type,Log Pwr
# RBW,3000.000000,Manual
# VBW,3000.000000,Auto
# Sweep Type,Continuous
# Sweep Mode,Sweep
# Sweep Rule,Speed
# PreAmp State,ON
# Ref Level,-2.000000000e+01
# Attenuation,20,Auto
# Trigger Source,FreeRun
# Trigger Level,+0.000000000e+00
# External Trigger Edge,FALL
# Video Trigger Edge,FALL
# Marker Information
# Marker,Trace,Type,X Axis,Amplitude
# Marker1,A,Frequency,200.666667 MHz,-33.63 dBm
# Trace Math,0
# Trace Variable X,Trace A
# Trace Variable Y,Trace B
# Trace Variable Z,Trace C
# Trace Name,Trace A,Trace B
# Trace Type,View,View
# Trace Detector,Sample,Sample
# Trace Data
# 0.000000e+00,-6.237480e+01,-9.248303e+01
6.600000e+07,-3.065605e+01,-1.044178e+02
6.666667e+07,-3.045097e+01,-1.018113e+02
6.733333e+07,-3.049003e+01,-1.034139e+02
6.800000e+07,-3.069999e+01,-1.030594e+02
6.866667e+07,-3.034843e+01,-1.018963e+02
6.933333e+07,-3.027030e+01,-1.020623e+02
7.000000e+07,-3.054374e+01,-1.038601e+02
7.066667e+07,-3.047538e+01,-1.036619e+02
7.133333e+07,-3.035819e+01,-1.008240e+02
7.200000e+07,-3.055839e+01,-1.001746e+02
7.266667e+07,-3.049491e+01,-1.028426e+02
7.333333e+07,-3.054374e+01,-1.062127e+02
7.400000e+07,-3.040702e+01,-1.024851e+02
7.466667e+07,-3.057304e+01,-1.013113e+02
7.533333e+07,-3.048515e+01,-1.048064e+02
7.600000e+07,-3.052909e+01,-1.007625e+02
7.666667e+07,-3.057792e+01,-1.048250e+02
7.733333e+07,-3.044608e+01,-1.029822e+02
7.800000e+07,-3.058280e+01,-1.028562e+02
7.866667e+07,-3.106620e+01,-9.997733e+01
7.933333e+07,-3.078788e+01,-1.015193e+02
8.000000e+07,-3.071952e+01,-1.048475e+02
8.066667e+07,-3.062187e+01,-1.006971e+02
8.133333e+07,-3.038261e+01,-1.020516e+02
8.200000e+07,-3.049003e+01,-9.951347e+01
8.266667e+07,-3.011894e+01,-1.033543e+02
8.333333e+07,-2.998710e+01,-9.897050e+01
8.400000e+07,-3.003593e+01,-1.000047e+02
8.466667e+07,-2.958671e+01,-1.002215e+02
8.533333e+07,-2.963554e+01,-1.000877e+02
8.600000e+07,-2.970878e+01,-1.030154e+02
8.666667e+07,-2.928886e+01,-1.001072e+02
8.733333e+07,-2.920097e+01,-1.008924e+02
8.800000e+07,-2.933280e+01,-1.024285e+02
8.866667e+07,-2.893241e+01,-9.977812e+01
8.933333e+07,-2.911308e+01,-1.007605e+02
9.000000e+07,-2.883476e+01,-9.819511e+01
9.066667e+07,-2.879081e+01,-9.973222e+01
9.133333e+07,-2.863456e+01,-1.025555e+02
9.200000e+07,-2.854179e+01,-1.002166e+02
9.266667e+07,-2.855644e+01,-1.036912e+02
9.333333e+07,-2.832694e+01,-1.013045e+02
9.400000e+07,-2.849296e+01,-1.021199e+02
9.466667e+07,-2.828788e+01,-9.876444e+01
9.533333e+07,-2.831230e+01,-1.034812e+02
9.600000e+07,-2.799491e+01,-1.004607e+02
9.666667e+07,-2.817069e+01,-9.998124e+01
9.733333e+07,-2.799491e+01,-1.022000e+02
9.800000e+07,-2.799491e+01,-1.004070e+02
9.866667e+07,-2.789726e+01,-9.968046e+01
9.933333e+07,-2.821952e+01,-1.006473e+02
1.000000e+08,-2.812675e+01,-1.042898e+02
1.006667e+08,-2.823905e+01,-1.053328e+02
1.013333e+08,-2.845390e+01,-1.004519e+02
1.020000e+08,-2.842948e+01,-1.011551e+02
1.026667e+08,-2.846366e+01,-1.018816e+02
1.033333e+08,-2.824394e+01,-9.876542e+01
1.040000e+08,-2.807792e+01,-9.765898e+01
1.046667e+08,-2.788749e+01,-9.862675e+01
1.053333e+08,-2.753593e+01,-1.004666e+02
1.060000e+08,-2.751640e+01,-9.805546e+01
1.066667e+08,-2.732108e+01,-1.000428e+02
1.073333e+08,-2.700370e+01,-9.941093e+01
1.080000e+08,-2.705741e+01,-9.803202e+01
1.086667e+08,-2.682304e+01,-9.823417e+01
1.093333e+08,-2.669120e+01,-1.000281e+02
1.100000e+08,-2.653007e+01,-1.005584e+02
1.106667e+08,-2.671562e+01,-9.847343e+01
1.113333e+08,-2.633964e+01,-9.960429e+01
1.120000e+08,-2.626640e+01,-9.735917e+01
1.126667e+08,-2.628105e+01,-9.488358e+01
1.133333e+08,-2.614921e+01,-9.694023e+01
1.140000e+08,-2.622245e+01,-9.773222e+01
1.146667e+08,-2.624687e+01,-9.785624e+01
1.153333e+08,-2.617362e+01,-1.002107e+02
1.160000e+08,-2.621757e+01,-9.541874e+01
1.166667e+08,-2.602226e+01,-9.836601e+01
1.173333e+08,-2.590507e+01,-9.739042e+01
1.180000e+08,-2.595390e+01,-9.913163e+01
1.186667e+08,-2.586601e+01,-1.007850e+02
1.193333e+08,-2.563651e+01,-9.984648e+01
1.200000e+08,-2.575858e+01,-9.617948e+01
1.206667e+08,-2.553397e+01,-9.710722e+01
1.213333e+08,-2.560233e+01,-1.011238e+02
1.220000e+08,-2.533866e+01,-9.337089e+01
1.226667e+08,-2.537772e+01,-9.914628e+01
1.233333e+08,-2.517265e+01,-9.571952e+01
1.240000e+08,-2.511894e+01,-9.779862e+01
1.246667e+08,-2.523124e+01,-9.444315e+01
1.253333e+08,-2.504569e+01,-9.746464e+01
1.260000e+08,-2.491874e+01,-9.658769e+01
1.266667e+08,-2.501640e+01,-9.419022e+01
1.273333e+08,-2.486015e+01,-9.457108e+01
1.280000e+08,-2.469901e+01,-9.402812e+01
1.286667e+08,-2.457206e+01,-9.712187e+01
1.293333e+08,-2.467460e+01,-9.610624e+01
1.300000e+08,-2.447929e+01,-9.486894e+01
1.306667e+08,-2.445976e+01,-9.448710e+01
1.313333e+08,-2.439140e+01,-9.392655e+01
1.320000e+08,-2.439140e+01,-9.564823e+01
1.326667e+08,-2.427421e+01,-9.491093e+01
1.333333e+08,-2.416679e+01,-9.456523e+01
1.340000e+08,-2.442069e+01,-9.489335e+01
1.346667e+08,-2.417655e+01,-9.653593e+01
1.353333e+08,-2.419120e+01,-9.478300e+01
1.360000e+08,-2.413749e+01,-9.440898e+01
1.366667e+08,-2.403495e+01,-9.371366e+01
1.373333e+08,-2.402519e+01,-9.668437e+01
1.380000e+08,-2.391288e+01,-9.733280e+01
1.386667e+08,-2.398124e+01,-9.479667e+01
1.393333e+08,-2.385917e+01,-9.663261e+01
1.400000e+08,-2.377128e+01,-9.610917e+01
1.406667e+08,-2.383476e+01,-9.378690e+01
1.413333e+08,-2.384452e+01,-9.796366e+01
1.420000e+08,-2.366874e+01,-9.633476e+01
1.426667e+08,-2.371757e+01,-9.364042e+01
1.433333e+08,-2.370780e+01,-9.707694e+01
1.440000e+08,-2.376640e+01,-9.860429e+01
1.446667e+08,-2.356132e+01,-9.390702e+01
1.453333e+08,-2.372245e+01,-9.418046e+01
1.460000e+08,-2.359062e+01,-9.749980e+01
1.466667e+08,-2.363944e+01,-9.411601e+01
1.473333e+08,-2.353690e+01,-9.877519e+01
1.480000e+08,-2.377616e+01,-9.743437e+01
1.486667e+08,-2.366874e+01,-9.334940e+01
1.493333e+08,-2.371757e+01,-9.110429e+01
1.500000e+08,-2.387382e+01,-9.548515e+01
1.506667e+08,-2.394218e+01,-9.588261e+01
1.513333e+08,-2.402030e+01,-9.328398e+01
1.520000e+08,-2.403495e+01,-9.728886e+01
1.526667e+08,-2.420585e+01,-9.466093e+01
1.533333e+08,-2.430351e+01,-9.861405e+01
1.540000e+08,-2.456718e+01,-9.550565e+01
1.546667e+08,-2.464042e+01,-9.616776e+01
1.553333e+08,-2.471855e+01,-9.436698e+01
1.560000e+08,-2.483573e+01,-9.843046e+01
1.566667e+08,-2.498222e+01,-9.654667e+01
1.573333e+08,-2.498222e+01,-9.663651e+01
1.580000e+08,-2.524101e+01,-9.344706e+01
1.586667e+08,-2.517265e+01,-9.699394e+01
1.593333e+08,-2.527030e+01,-9.615409e+01
1.600000e+08,-2.533866e+01,-9.437284e+01
1.606667e+08,-2.542655e+01,-9.654765e+01
1.613333e+08,-2.531913e+01,-9.610331e+01
1.620000e+08,-2.554862e+01,-9.667753e+01
1.626667e+08,-2.540214e+01,-9.689726e+01
1.633333e+08,-2.556815e+01,-9.739042e+01
1.640000e+08,-2.554374e+01,-9.847050e+01
1.646667e+08,-2.546562e+01,-9.676347e+01
1.653333e+08,-2.601249e+01,-9.542460e+01
1.660000e+08,-2.591483e+01,-9.560429e+01
1.666667e+08,-2.590995e+01,-9.759843e+01
1.673333e+08,-2.635917e+01,-9.712284e+01
1.680000e+08,-2.644706e+01,-9.830155e+01
1.686667e+08,-2.654960e+01,-9.792655e+01
1.693333e+08,-2.665214e+01,-9.782401e+01
1.700000e+08,-2.684257e+01,-9.612382e+01
1.706667e+08,-2.690116e+01,-9.799101e+01
1.713333e+08,-2.710624e+01,-9.616288e+01
1.720000e+08,-2.714530e+01,-9.859159e+01
1.726667e+08,-2.745780e+01,-9.726151e+01
1.733333e+08,-2.751151e+01,-9.763456e+01
1.740000e+08,-2.749198e+01,-9.866288e+01
1.746667e+08,-2.792167e+01,-9.853788e+01
1.753333e+08,-2.802909e+01,-9.619608e+01
1.760000e+08,-2.813163e+01,-9.879276e+01
1.766667e+08,-2.814140e+01,-1.006873e+02
1.773333e+08,-2.861991e+01,-9.771171e+01
1.780000e+08,-2.856132e+01,-1.005476e+02
1.786667e+08,-2.864921e+01,-1.004217e+02
1.793333e+08,-2.903495e+01,-9.702030e+01
1.800000e+08,-2.907401e+01,-9.909355e+01
1.806667e+08,-2.921073e+01,-1.002762e+02
1.813333e+08,-2.923026e+01,-9.849687e+01
1.820000e+08,-2.974296e+01,-9.720585e+01
1.826667e+08,-2.966483e+01,-9.931327e+01
1.833333e+08,-2.960624e+01,-1.005603e+02
1.840000e+08,-2.993827e+01,-1.006541e+02
1.846667e+08,-3.016288e+01,-1.005945e+02
1.853333e+08,-3.027030e+01,-9.809745e+01
1.860000e+08,-3.029472e+01,-9.775761e+01
1.866667e+08,-3.100272e+01,-9.975565e+01
1.873333e+08,-3.068046e+01,-9.945585e+01
1.880000e+08,-3.068046e+01,-1.020037e+02
1.886667e+08,-3.099296e+01,-9.863749e+01
1.893333e+08,-3.124198e+01,-1.012283e+02
1.900000e+08,-3.124198e+01,-1.015418e+02
1.906667e+08,-3.124687e+01,-1.011961e+02
1.913333e+08,-3.198905e+01,-1.012928e+02
1.920000e+08,-3.177909e+01,-1.013055e+02
1.926667e+08,-3.177421e+01,-9.974882e+01
1.933333e+08,-3.215507e+01,-1.006873e+02
1.940000e+08,-3.232108e+01,-1.014978e+02
1.946667e+08,-3.225272e+01,-1.015848e+02
1.953333e+08,-3.228690e+01,-9.956718e+01
1.960000e+08,-3.281913e+01,-9.961405e+01
1.966667e+08,-3.279960e+01,-1.018875e+02
1.973333e+08,-3.269218e+01,-1.048894e+02
1.980000e+08,-3.315605e+01,-1.007478e+02
1.986667e+08,-3.323417e+01,-1.007898e+02
1.993333e+08,-3.320487e+01,-1.028406e+02
2.000000e+08,-3.323905e+01,-1.010867e+02
2.006667e+08,-3.363456e+01,-1.036746e+02
2.013333e+08,-3.360526e+01,-1.029558e+02
2.020000e+08,-3.357108e+01,-1.032654e+02
2.026667e+08,-3.386405e+01,-1.052166e+02
2.033333e+08,-3.396171e+01,-1.021238e+02
2.040000e+08,-3.416190e+01,-1.026443e+02
2.046667e+08,-3.405937e+01,-1.043035e+02
2.053333e+08,-3.461601e+01,-1.008973e+02
2.060000e+08,-3.444022e+01,-1.036756e+02
2.066667e+08,-3.457694e+01,-1.041346e+02
2.073333e+08,-3.470390e+01,-1.004519e+02
2.080000e+08,-3.488944e+01,-1.026121e+02
2.086667e+08,-3.508476e+01,-1.024080e+02
2.093333e+08,-3.488944e+01,-1.064226e+02
2.100000e+08,-3.535331e+01,-1.020779e+02
2.106667e+08,-3.541679e+01,-1.031141e+02
2.113333e+08,-3.530448e+01,-1.028660e+02
2.120000e+08,-3.557304e+01,-1.030183e+02
2.126667e+08,-3.565116e+01,-1.041892e+02
2.133333e+08,-3.560722e+01,-1.047586e+02
2.140000e+08,-3.548515e+01,-1.048328e+02
2.146667e+08,-3.576347e+01,-1.039285e+02
2.153333e+08,-3.581230e+01,-1.030799e+02
2.160000e+08,-3.574882e+01,-1.029373e+02
2.166667e+08,-3.588554e+01,-1.015896e+02
2.173333e+08,-3.584159e+01,-1.004881e+02
2.180000e+08,-3.607597e+01,-1.013133e+02
2.186667e+08,-3.594413e+01,-1.080389e+02
2.193333e+08,-3.612968e+01,-1.063289e+02
2.200000e+08,-3.661796e+01,-1.024480e+02
2.206667e+08,-3.649589e+01,-1.033982e+02
2.213333e+08,-3.658378e+01,-1.020906e+02
2.220000e+08,-3.661796e+01,-1.040799e+02
2.226667e+08,-3.711601e+01,-1.018777e+02
2.233333e+08,-3.686698e+01,-1.034627e+02
2.240000e+08,-3.708671e+01,-1.080281e+02
2.246667e+08,-3.753105e+01,-1.041463e+02
2.253333e+08,-3.751151e+01,-1.059725e+02
2.260000e+08,-3.752616e+01,-1.052351e+02
2.266667e+08,-3.773124e+01,-1.030535e+02
2.273333e+08,-3.808769e+01,-1.023367e+02
2.280000e+08,-3.797538e+01,-1.060398e+02
2.286667e+08,-3.804374e+01,-1.047869e+02
2.293333e+08,-3.839530e+01,-1.021883e+02
2.300000e+08,-3.838065e+01,-1.089012e+02
2.306667e+08,-3.834647e+01,-1.064471e+02
2.313333e+08,-3.845390e+01,-1.066258e+02
2.320000e+08,-3.873222e+01,-1.071902e+02
2.326667e+08,-3.847343e+01,-1.069920e+02
2.333333e+08,-3.851249e+01,-1.043758e+02
2.340000e+08,-3.874198e+01,-1.053055e+02
2.346667e+08,-3.877616e+01,-1.027654e+02
2.353333e+08,-3.869315e+01,-1.041150e+02
2.360000e+08,-3.863944e+01,-1.047127e+02
2.366667e+08,-3.906425e+01,-1.075389e+02
2.373333e+08,-3.886894e+01,-1.061971e+02
2.380000e+08,-3.894218e+01,-1.082244e+02
2.386667e+08,-3.904960e+01,-1.064246e+02
2.393333e+08,-3.945976e+01,-1.052693e+02
2.400000e+08,-3.918144e+01,-1.053924e+02
2.406667e+08,-3.922050e+01,-1.039256e+02
2.413333e+08,-3.970878e+01,-1.066101e+02
2.420000e+08,-3.952812e+01,-1.057439e+02
2.426667e+08,-3.942069e+01,-1.080017e+02
2.433333e+08,-3.952812e+01,-1.046150e+02
2.440000e+08,-4.011405e+01,-1.046023e+02
2.446667e+08,-3.967460e+01,-1.052058e+02
2.453333e+08,-3.971366e+01,-1.064402e+02
2.460000e+08,-4.014335e+01,-1.090232e+02
2.466667e+08,-4.005546e+01,-1.078084e+02
2.473333e+08,-3.991874e+01,-1.049217e+02
2.480000e+08,-4.007987e+01,-1.031082e+02
2.486667e+08,-4.061698e+01,-1.077342e+02
2.493333e+08,-4.027030e+01,-1.051648e+02
2.500000e+08,-4.023612e+01,-1.071326e+02
2.506667e+08,-4.044120e+01,-1.037918e+02
2.513333e+08,-4.055351e+01,-1.035027e+02
2.520000e+08,-4.043144e+01,-1.062000e+02
2.526667e+08,-4.044120e+01,-1.062010e+02
2.533333e+08,-4.111015e+01,-1.063953e+02
2.540000e+08,-4.068046e+01,-1.084236e+02
2.546667e+08,-4.058769e+01,-1.065701e+02
2.553333e+08,-4.088065e+01,-1.071824e+02
2.560000e+08,-4.104179e+01,-1.063152e+02
2.566667e+08,-4.089530e+01,-1.038162e+02
2.573333e+08,-4.079765e+01,-1.078826e+02
2.580000e+08,-4.164726e+01,-1.110096e+02
2.586667e+08,-4.119804e+01,-1.049617e+02
2.593333e+08,-4.108085e+01,-1.097889e+02
2.600000e+08,-4.120780e+01,-1.076824e+02
2.606667e+08,-4.170097e+01,-1.081267e+02
2.613333e+08,-4.145194e+01,-1.066580e+02
2.620000e+08,-4.130546e+01,-1.062547e+02
2.626667e+08,-4.226737e+01,-1.080516e+02
2.633333e+08,-4.181327e+01,-1.070750e+02
2.640000e+08,-4.171073e+01,-1.058953e+02
2.646667e+08,-4.201835e+01,-1.079549e+02
2.653333e+08,-4.233085e+01,-1.079451e+02
2.660000e+08,-4.204276e+01,-1.114685e+02
2.666667e+08,-4.178886e+01,-1.065476e+02
2.673333e+08,-4.263847e+01,-1.042898e+02
2.680000e+08,-4.237968e+01,-1.088279e+02
2.686667e+08,-4.212089e+01,-1.059861e+02
2.693333e+08,-4.245780e+01,-1.061082e+02
2.700000e+08,-4.280937e+01,-1.059822e+02
2.706667e+08,-4.257011e+01,-1.103211e+02
2.713333e+08,-4.239433e+01,-1.052674e+02
2.720000e+08,-4.306815e+01,-1.046199e+02
2.726667e+08,-4.308280e+01,-1.141326e+02
2.733333e+08,-4.270194e+01,-1.082537e+02
2.740000e+08,-4.293632e+01,-1.084617e+02
2.746667e+08,-4.339530e+01,-1.064490e+02
2.753333e+08,-4.333671e+01,-1.068572e+02
2.760000e+08,-4.288261e+01,-1.100828e+02
2.766667e+08,-4.381522e+01,-1.099012e+02
2.773333e+08,-4.386405e+01,-1.060652e+02
2.780000e+08,-4.346366e+01,-1.060808e+02
2.786667e+08,-4.374687e+01,-1.073113e+02
2.793333e+08,-4.419608e+01,-1.096697e+02
2.800000e+08,-4.394706e+01,-1.070144e+02
2.806667e+08,-4.362968e+01,-1.071062e+02
2.813333e+08,-4.431327e+01,-1.075379e+02
2.820000e+08,-4.444022e+01,-1.107234e+02
2.826667e+08,-4.407890e+01,-1.080144e+02
2.833333e+08,-4.427909e+01,-1.082947e+02
2.840000e+08,-4.462089e+01,-1.142254e+02
2.846667e+08,-4.462577e+01,-1.097234e+02
2.853333e+08,-4.424003e+01,-1.067879e+02
2.860000e+08,-4.479179e+01,-1.067557e+02
2.866667e+08,-4.518241e+01,-1.072391e+02
2.873333e+08,-4.470390e+01,-1.119519e+02
2.880000e+08,-4.487968e+01,-1.104851e+02
2.886667e+08,-4.512382e+01,-1.071863e+02
2.893333e+08,-4.516288e+01,-1.054119e+02
2.900000e+08,-4.478202e+01,-1.050945e+02
2.906667e+08,-4.509452e+01,-1.080447e+02
2.913333e+08,-4.536796e+01,-1.062859e+02
2.920000e+08,-4.515312e+01,-1.083680e+02
2.926667e+08,-4.517265e+01,-1.083943e+02
2.933333e+08,-4.526054e+01,-1.076453e+02
2.940000e+08,-4.553397e+01,-1.121600e+02
2.946667e+08,-4.513847e+01,-1.074275e+02
2.953333e+08,-4.527519e+01,-1.065076e+02
2.960000e+08,-4.555839e+01,-1.072068e+02
2.966667e+08,-4.552909e+01,-1.094148e+02
2.973333e+08,-4.536308e+01,-1.062332e+02
2.980000e+08,-4.555351e+01,-1.110896e+02
2.986667e+08,-4.598319e+01,-1.086580e+02
2.993333e+08,-4.559257e+01,-1.092693e+02
3.000000e+08,-4.561698e+01,-1.079275e+02
3.006667e+08,-4.588065e+01,-1.072322e+02
3.013333e+08,-4.598319e+01,-1.089578e+02
3.020000e+08,-4.576835e+01,-1.095848e+02
3.026667e+08,-4.590995e+01,-1.099900e+02
3.033333e+08,-4.626640e+01,-1.100066e+02
3.040000e+08,-4.607597e+01,-1.106131e+02
3.046667e+08,-4.603202e+01,-1.076424e+02
3.053333e+08,-4.629569e+01,-1.080389e+02
3.060000e+08,-4.673515e+01,-1.103318e+02
3.066667e+08,-4.632499e+01,-1.077547e+02
3.073333e+08,-4.629569e+01,-1.061062e+02
