#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),2.295000,Auto
#Start Frequency,+0.000000000e+00
#Stop Frequency,+2.500000000e+08
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-1.000000000e+01
#Attenuation,30,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M1,A,Frequency,25.000000 MHz,-30.49 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,View
#Trace Detector,Sample,Sample,Sample,Sample
#Trace Data
2.066667e+07,-3.033374e+01,-6.860949e+01,-7.424264e+01,-9.125918e+01
2.100000e+07,-3.030727e+01,-6.856904e+01,-7.629710e+01,-9.018056e+01
2.133333e+07,-3.039126e+01,-6.447634e+01,-7.149070e+01,-9.207874e+01
2.166667e+07,-3.043037e+01,-6.682761e+01,-7.516968e+01,-9.267530e+01
2.200000e+07,-3.038305e+01,-6.674298e+01,-7.244202e+01,-9.205406e+01
2.233333e+07,-3.041542e+01,-6.640602e+01,-7.271577e+01,-9.267966e+01
2.266667e+07,-3.049917e+01,-6.590933e+01,-7.163782e+01,-9.190305e+01
2.300000e+07,-3.036738e+01,-6.685928e+01,-7.310052e+01,-9.029133e+01
2.333333e+07,-3.042812e+01,-6.910583e+01,-7.277471e+01,-9.160253e+01
2.366667e+07,-3.047866e+01,-6.667761e+01,-7.166205e+01,-9.166816e+01
2.400000e+07,-3.052421e+01,-6.656582e+01,-7.459636e+01,-9.114634e+01
2.433333e+07,-3.039145e+01,-6.944495e+01,-7.284032e+01,-9.173584e+01
2.466667e+07,-3.050781e+01,-6.595361e+01,-7.279944e+01,-8.980676e+01
2.500000e+07,-3.049497e+01,-6.734693e+01,-7.336004e+01,-9.276621e+01
2.533333e+07,-3.061577e+01,-6.629444e+01,-7.414653e+01,-9.146067e+01
2.566667e+07,-3.048754e+01,-6.538085e+01,-7.234802e+01,-9.230244e+01
2.600000e+07,-3.051738e+01,-6.568961e+01,-7.229123e+01,-9.145648e+01
2.633333e+07,-3.054882e+01,-6.631439e+01,-7.392088e+01,-9.083559e+01
2.666667e+07,-3.061167e+01,-6.669719e+01,-7.134768e+01,-9.169721e+01
2.700000e+07,-3.054223e+01,-6.792786e+01,-7.190003e+01,-8.986566e+01
2.733333e+07,-3.062270e+01,-6.719526e+01,-7.193279e+01,-9.161649e+01
2.766667e+07,-3.063310e+01,-6.571463e+01,-7.171580e+01,-9.191573e+01
2.800000e+07,-3.062031e+01,-6.694765e+01,-7.232328e+01,-9.190965e+01
2.833333e+07,-3.061464e+01,-6.755706e+01,-7.218974e+01,-9.061979e+01
2.866667e+07,-3.068178e+01,-6.630886e+01,-7.310444e+01,-9.121573e+01
2.900000e+07,-3.078261e+01,-6.784970e+01,-7.336111e+01,-9.157458e+01
2.933333e+07,-3.064497e+01,-6.754120e+01,-7.343163e+01,-9.180659e+01
2.966667e+07,-3.070151e+01,-6.858493e+01,-7.041008e+01,-9.145073e+01
3.000000e+07,-3.070532e+01,-6.915019e+01,-7.296226e+01,-8.928006e+01
3.033333e+07,-3.072241e+01,-6.557674e+01,-7.162796e+01,-9.083664e+01
3.066667e+07,-3.072070e+01,-7.009233e+01,-7.175334e+01,-9.192086e+01
3.100000e+07,-3.082841e+01,-6.711408e+01,-7.357257e+01,-9.180386e+01
3.133333e+07,-3.086743e+01,-6.987721e+01,-7.363329e+01,-9.021049e+01
3.166667e+07,-3.079834e+01,-6.984776e+01,-7.431058e+01,-9.055597e+01
3.200000e+07,-3.082866e+01,-6.741359e+01,-7.101073e+01,-8.956558e+01
3.233333e+07,-3.087417e+01,-6.890588e+01,-6.947745e+01,-9.067193e+01
3.266667e+07,-3.092836e+01,-7.012022e+01,-7.245307e+01,-9.041994e+01
3.300000e+07,-3.091250e+01,-6.628533e+01,-6.955183e+01,-9.093358e+01
3.333333e+07,-3.084775e+01,-6.723701e+01,-7.139850e+01,-9.125736e+01
3.366667e+07,-3.089555e+01,-6.645920e+01,-7.224701e+01,-9.177187e+01
3.400000e+07,-3.097436e+01,-7.085220e+01,-7.043487e+01,-9.180563e+01
3.433333e+07,-3.083852e+01,-6.571148e+01,-7.191596e+01,-9.155285e+01
3.466666e+07,-3.098325e+01,-6.734285e+01,-6.952862e+01,-9.037524e+01
3.500000e+07,-3.122031e+01,-6.845088e+01,-7.274733e+01,-9.217049e+01
3.533333e+07,-3.140024e+01,-6.738980e+01,-7.117499e+01,-9.086856e+01
3.566666e+07,-3.144624e+01,-6.656517e+01,-7.489240e+01,-9.163523e+01
3.600000e+07,-3.155693e+01,-6.665113e+01,-7.173733e+01,-9.012297e+01
3.633333e+07,-3.166269e+01,-6.805091e+01,-7.166434e+01,-9.214064e+01
3.666666e+07,-3.164980e+01,-6.713472e+01,-7.206890e+01,-9.167873e+01
3.700000e+07,-3.165625e+01,-6.888297e+01,-7.220003e+01,-9.147161e+01
3.733333e+07,-3.169155e+01,-6.909489e+01,-7.339581e+01,-9.088949e+01
3.766666e+07,-3.175229e+01,-6.873940e+01,-7.232353e+01,-9.157244e+01
3.800000e+07,-3.177070e+01,-6.673079e+01,-7.070316e+01,-9.209682e+01
3.833333e+07,-3.175097e+01,-6.899059e+01,-7.148882e+01,-9.100257e+01
3.866666e+07,-3.180009e+01,-6.772383e+01,-7.286008e+01,-9.189997e+01
3.900000e+07,-3.181918e+01,-6.548400e+01,-7.146911e+01,-9.215579e+01
3.933333e+07,-3.184990e+01,-7.094793e+01,-7.138548e+01,-9.141938e+01
3.966667e+07,-3.189477e+01,-6.955845e+01,-7.284192e+01,-9.187059e+01
4.000000e+07,-3.195258e+01,-6.775262e+01,-7.285103e+01,-9.101178e+01
4.033333e+07,-3.203173e+01,-6.760418e+01,-7.142848e+01,-9.197152e+01
4.066667e+07,-3.201376e+01,-6.962190e+01,-7.065263e+01,-9.205664e+01
4.100000e+07,-3.209487e+01,-6.959777e+01,-7.092029e+01,-9.026536e+01
4.133334e+07,-3.216127e+01,-6.808902e+01,-7.088226e+01,-9.033727e+01
4.166667e+07,-3.220278e+01,-6.665179e+01,-7.189982e+01,-9.138565e+01
4.200000e+07,-3.220698e+01,-6.883367e+01,-7.046312e+01,-9.136259e+01
4.233334e+07,-3.225415e+01,-6.956995e+01,-7.020140e+01,-9.051298e+01
4.266667e+07,-3.240961e+01,-6.715916e+01,-7.101997e+01,-9.185517e+01
4.300000e+07,-3.234023e+01,-6.757503e+01,-7.237826e+01,-9.188981e+01
4.333334e+07,-3.244765e+01,-6.621942e+01,-7.232638e+01,-9.147415e+01
4.366667e+07,-3.252236e+01,-6.724270e+01,-7.102775e+01,-9.184319e+01
4.400000e+07,-3.260971e+01,-6.787309e+01,-7.160917e+01,-9.265945e+01
4.433334e+07,-3.262963e+01,-6.889864e+01,-7.119391e+01,-9.314497e+01
4.466667e+07,-3.272211e+01,-6.912489e+01,-7.383162e+01,-9.076676e+01
4.500000e+07,-3.281357e+01,-7.041276e+01,-6.951233e+01,-9.130308e+01
4.533333e+07,-3.283886e+01,-6.729900e+01,-7.264214e+01,-9.088186e+01
4.566667e+07,-3.294780e+01,-6.746247e+01,-7.118755e+01,-9.031967e+01
4.600000e+07,-3.295542e+01,-7.097604e+01,-7.141451e+01,-9.056371e+01
4.633334e+07,-3.301733e+01,-6.790440e+01,-7.251469e+01,-9.159241e+01
4.666667e+07,-3.312016e+01,-6.898160e+01,-7.141996e+01,-9.202458e+01
4.700000e+07,-3.310175e+01,-6.724770e+01,-7.089556e+01,-9.179045e+01
4.733333e+07,-3.321318e+01,-6.946867e+01,-6.989497e+01,-9.061150e+01
4.766666e+07,-3.326513e+01,-7.082384e+01,-7.121039e+01,-9.038214e+01
4.800000e+07,-3.340542e+01,-6.926689e+01,-7.025546e+01,-9.160064e+01
4.833334e+07,-3.345092e+01,-7.055029e+01,-7.123112e+01,-9.121689e+01
4.866667e+07,-3.348657e+01,-6.694758e+01,-7.129020e+01,-9.275408e+01
4.900000e+07,-3.364990e+01,-6.965784e+01,-7.239228e+01,-9.166401e+01
4.933333e+07,-3.368574e+01,-6.699137e+01,-7.096132e+01,-9.150999e+01
4.966666e+07,-3.372358e+01,-6.823367e+01,-7.077331e+01,-9.027659e+01
5.000000e+07,-3.390371e+01,-6.983490e+01,-7.285968e+01,-9.104826e+01
5.033334e+07,-3.392695e+01,-6.630206e+01,-7.142292e+01,-9.107370e+01
5.066667e+07,-3.399677e+01,-6.785926e+01,-6.946727e+01,-8.904090e+01
5.100000e+07,-3.408408e+01,-6.678691e+01,-7.005773e+01,-8.961348e+01
5.133333e+07,-3.418295e+01,-6.899384e+01,-7.181574e+01,-9.278586e+01
5.166666e+07,-3.424731e+01,-7.069168e+01,-7.081503e+01,-9.094190e+01
5.200000e+07,-3.426772e+01,-7.037129e+01,-7.058961e+01,-8.982810e+01
5.233334e+07,-3.437216e+01,-6.720351e+01,-6.961008e+01,-9.319596e+01
5.266667e+07,-3.453276e+01,-6.691748e+01,-7.231962e+01,-8.946535e+01
5.300000e+07,-3.456577e+01,-6.831331e+01,-7.237325e+01,-9.251704e+01
5.333333e+07,-3.462285e+01,-6.871004e+01,-7.084866e+01,-9.211578e+01
5.366666e+07,-3.469970e+01,-6.845471e+01,-7.044040e+01,-9.087621e+01
5.400000e+07,-3.477334e+01,-6.751759e+01,-7.058021e+01,-9.297347e+01
5.433333e+07,-3.490874e+01,-6.718620e+01,-6.998867e+01,-9.227780e+01
5.466667e+07,-3.492412e+01,-6.924514e+01,-7.040986e+01,-9.064376e+01
5.500000e+07,-3.508730e+01,-7.029912e+01,-7.175481e+01,-9.141252e+01
5.533333e+07,-3.511889e+01,-6.982931e+01,-7.080814e+01,-9.050389e+01
5.566667e+07,-3.517016e+01,-6.722683e+01,-7.244659e+01,-9.082885e+01
5.600000e+07,-3.532001e+01,-6.831474e+01,-7.158993e+01,-9.283398e+01
5.633333e+07,-3.528510e+01,-6.828050e+01,-6.972520e+01,-9.055398e+01
5.666667e+07,-3.543012e+01,-6.674932e+01,-7.133253e+01,-9.173292e+01
5.700000e+07,-3.552045e+01,-6.805486e+01,-7.041862e+01,-9.035917e+01
5.733334e+07,-3.563901e+01,-6.970608e+01,-7.213820e+01,-8.988869e+01
5.766667e+07,-3.568408e+01,-6.667903e+01,-6.925430e+01,-9.160191e+01
5.800000e+07,-3.584350e+01,-6.986880e+01,-7.086093e+01,-9.141815e+01
5.833333e+07,-3.586264e+01,-6.984852e+01,-7.030850e+01,-9.203621e+01
5.866667e+07,-3.594370e+01,-6.818749e+01,-7.060101e+01,-9.047259e+01
5.900000e+07,-3.609521e+01,-6.938760e+01,-6.881539e+01,-9.111898e+01
5.933334e+07,-3.602856e+01,-6.835828e+01,-6.934863e+01,-9.179647e+01
5.966667e+07,-3.612031e+01,-6.809281e+01,-7.079685e+01,-9.008908e+01
6.000000e+07,-3.628579e+01,-6.690336e+01,-7.038252e+01,-9.056657e+01
6.033333e+07,-3.646411e+01,-7.147974e+01,-7.314646e+01,-9.115365e+01
6.066666e+07,-3.637451e+01,-6.944593e+01,-7.137184e+01,-9.236158e+01
6.100000e+07,-3.653295e+01,-6.645873e+01,-6.995479e+01,-9.043795e+01
6.133334e+07,-3.660166e+01,-6.872751e+01,-7.010772e+01,-9.019019e+01
6.166667e+07,-3.665585e+01,-6.974457e+01,-7.107588e+01,-9.005959e+01
6.200000e+07,-3.672124e+01,-7.234297e+01,-6.956394e+01,-9.285852e+01
