# OPA814 Aol phase, X Hz, Y degreees
# x, y
1095.8760392381344, -23.456375838926192
1537.7251860541387, -30.906040268456394
2238.208787074097, -41.37583892617451
3287.7486518120686, -52.04697986577182
4918.6838219456085, -61.30872483221478
7094.056322869912, -69.56375838926175
11110.296424014357, -76.20805369127518
19779.834979500793, -82.4496644295302
37890.36832926947, -85.46979865771813
80273.5675717287, -88.08724832214766
217757.0212076116, -89.69798657718121
742634.8879411576, -90.10067114093961
3013875.086422604, -88.89261744966444
9125119.66860058, -89.49664429530202
24981258.542577446, -90.90604026845638
59613951.85826768, -94.53020134228188
115247156.4649135, -97.9530201342282
187225847.50884822, -103.99328859060404
272513281.8673534, -110.03355704697987
403981827.0757346, -120.90604026845638
531674857.39803183, -132.58389261744966
732505910.3175206, -146.27516778523488
879698792.8602095, -156.94630872483222
