# LTC6268-10 voltage noise
# f, MHz
# in, nV/sqrt(Hz)
3.003003003003002, 3.9439439439439425
37.037037037037024, 3.9839839839839826
85.08508508508508, 4.1341341341341336
137.13713713713713, 4.344344344344345
168.16816816816817, 4.594594594594594
183.1831831831832, 4.764764764764764
195.6956956956957, 4.584584584584584
219.2192192192192, 4.704704704704704
244.24424424424421, 4.814814814814814
269.76976976976977, 4.994994994994994
293.7937937937938, 5.185185185185184
314.31431431431434, 5.145145145145144
335.8358358358358, 5.165165165165164
360.86086086086084, 5.435435435435435
378.3783783783784, 5.495495495495494
399.8998998998999, 5.465465465465465
420.42042042042044, 5.6256256256256245
431.9319319319319, 5.8558558558558556
442.4424424424425, 5.885885885885886
459.4594594594595, 5.8458458458458455
474.4744744744745, 5.755755755755755
487.98798798798794, 5.755755755755755
496.49649649649643, 5.755755755755755

