# LTC6268-10 current noise
# f, MHz
# in, pA/sqrt(Hz)
1.8090452261306567, 0.2112676056338021
15.075376884422106, 1.056338028169014
28.743718592964825, 1.9466800804828956
46.83417085427135, 3.35010060362173
59.69849246231155, 4.240442655935611
73.16582914572864, 5.085513078470825
83.6180904522613, 5.900402414486919
95.27638190954772, 6.8058350100603615
106.5326633165829, 7.424547283702212
118.19095477386932, 7.907444668008047
127.83919597989947, 8.526156941649898
136.28140703517585, 9.235412474849094
141.5075376884422, 9.974849094567404
146.73366834170852, 10.09557344064386
153.76884422110552, 10.171026156941648
159.19597989949747, 10.125754527162977
163.41708542713567, 10.171026156941648
167.03517587939697, 10.367203219315893
172.46231155778892, 10.804828973843057
175.87939698492463, 11.272635814889334
178.89447236180902, 11.498993963782695
183.31658291457285, 11.876257545271628
186.33165829145727, 12.072434607645874
191.35678391959797, 12.102615694164989
195.57788944723615, 12.072434607645874
199.19597989949747, 12.027162977867203
